title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
THE FIFTH RISK,Michael Lewis,Norton,"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.",True,12.0,1324002646,https://storage.googleapis.com/du-prd/books/images/9781324002642.jpg,2019-01-15
IN PIECES,Sally Field,Grand Central,A memoir by the two-time Academy Award and three-time Emmy Award winner.,True,10.0,1538763028,https://storage.googleapis.com/du-prd/books/images/9781538763025.jpg,2019-01-15
FEAR,Bob Woodward,Simon & Schuster,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",True,17.0,1501175513,https://storage.googleapis.com/du-prd/books/images/9781501175534.jpg,2019-01-15
CALYPSO,David Sedaris,"Little, Brown","A collection of comedic stories on mortality, middle age and a beach house dubbed the Sea Section.",True,13.0,0316392383,https://storage.googleapis.com/du-prd/books/images/9780316392389.jpg,2019-01-15
CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,Viking,A biography focusing on what motivated the war leader and how he learned from his mistakes.,True,5.0,1101980990,https://storage.googleapis.com/du-prd/books/images/9781101980996.jpg,2019-01-15
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,9.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-01-22
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,47.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-01-22
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,The story of a secret plot to kill George Washington in 1776.,True,,1250130336,https://storage.googleapis.com/du-prd/books/images/9781250130334.jpg,2019-01-22
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,"A memoir by a daughter of immigrants who was raised in Oakland, Calif., and became the second black woman ever elected to the United States Senate.",True,,0525560718,https://storage.googleapis.com/du-prd/books/images/9780525560715.jpg,2019-01-22
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,55.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-01-22
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,8.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-01-22
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,6.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-01-22
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,23.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-01-22
BEING MORTAL,Atul Gawande,Metropolitan/Holt,"The surgeon and New Yorker writer considers how doctors fail patients at the end of life, and how they can do better.",True,68.0,0805095152,https://storage.googleapis.com/du-prd/books/images/9780805095159.jpg,2019-01-22
THE SOPRANOS SESSIONS,Matt Zoller Seitz and Alan Sepinwall,Abrams,Essays and interviews by former TV critics from New Jersey’s Star-Ledger to mark the 20th anniversary of the show’s debut.,True,,1419734946,https://storage.googleapis.com/du-prd/books/images/9781419734946.jpg,2019-01-22
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,A look at the postwar manhunt for members of Hitler’s inner circle.,True,14.0,1250165547,https://storage.googleapis.com/du-prd/books/images/9781250165541.jpg,2019-01-22
BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,Bantam,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,True,13.0,1984819194,https://storage.googleapis.com/du-prd/books/images/9781984819192.jpg,2019-01-22
